CustomerID,Lookalikes
C0001,"[('C0152', np.float64(0.9999999999543174)), ('C0174', np.float64(0.99999998635848)), ('C0035', np.float64(0.9999999809217809))]"
C0002,"[('C0159', np.float64(0.9999999970500388)), ('C0134', np.float64(0.999999973232126)), ('C0178', np.float64(0.9999999037426132))]"
C0003,"[('C0091', np.float64(0.9999999860533897)), ('C0129', np.float64(0.9999999780383263)), ('C0158', np.float64(0.9999999425495927))]"
C0004,"[('C0148', np.float64(0.9999999999256067)), ('C0012', np.float64(0.9999999998831532)), ('C0018', np.float64(0.9999999891684433))]"
C0005,"[('C0140', np.float64(0.9999999985531377)), ('C0007', np.float64(0.9999999891922983)), ('C0106', np.float64(0.999999919214237))]"
C0006,"[('C0187', np.float64(0.9999999976625852)), ('C0108', np.float64(0.9999999944933381)), ('C0185', np.float64(0.9999999874980117))]"
C0007,"[('C0005', np.float64(0.9999999891922983)), ('C0140', np.float64(0.9999999798366417)), ('C0106', np.float64(0.9999999398787837))]"
C0008,"[('C0067', np.float64(0.9999999995719404)), ('C0117', np.float64(0.9999999992000437)), ('C0194', np.float64(0.9999999976283913))]"
C0009,"[('C0198', np.float64(0.999999997317119)), ('C0029', np.float64(0.9999995346412996)), ('C0192', np.float64(0.9999994278544725))]"
C0010,"[('C0132', np.float64(0.9999999973474439)), ('C0061', np.float64(0.9999999803158619)), ('C0042', np.float64(0.9999999411361565))]"
C0011,"[('C0107', np.float64(0.999999999630476)), ('C0126', np.float64(0.9999999855552966)), ('C0034', np.float64(0.9999999832941134))]"
C0012,"[('C0004', np.float64(0.9999999998831532)), ('C0148', np.float64(0.999999999622292)), ('C0018', np.float64(0.9999999874680865))]"
C0013,"[('C0087', np.float64(0.9999999986077339)), ('C0165', np.float64(0.999999998146168)), ('C0099', np.float64(0.9999999981103183))]"
C0014,"[('C0095', np.float64(0.9999965915740765)), ('C0071', np.float64(0.9999963101491984)), ('C0015', np.float64(0.9999960464921549))]"
C0015,"[('C0071', np.float64(0.999999891903569)), ('C0025', np.float64(0.9999997343196548)), ('C0052', np.float64(0.9999996502424751))]"
C0016,"[('C0183', np.float64(0.9999999999907888)), ('C0155', np.float64(0.9999999913236626)), ('C0126', np.float64(0.9999999877856182))]"
C0017,"[('C0170', np.float64(0.9999999998560195)), ('C0182', np.float64(0.999999999770321)), ('C0057', np.float64(0.9999999997458848))]"
C0018,"[('C0148', np.float64(0.9999999903575618)), ('C0004', np.float64(0.9999999891684433)), ('C0012', np.float64(0.9999999874680865))]"
C0019,"[('C0070', np.float64(0.9999999716223411)), ('C0050', np.float64(0.9999999638109933)), ('C0125', np.float64(0.9999999621857464))]"
C0020,"[('C0095', np.float64(0.9999996361326597)), ('C0112', np.float64(0.99999950213325)), ('C0031', np.float64(0.9999993539979664))]"
